name
1|Chais|1|Beverages|23
2|Chang|1|Beverages|22
3|Aniseed Syrup|2|Condiments|45
4|Chef Anton's Cajun Seasoning|2|Condiments|10
5|Chef Anton's Gumbo Mix|2|Condiments|24
6|Grandma's Boysenberry Spread|2|Condiments|23
7|Uncle Bob's Organic Dried Pears|7|Produce|46
8|Northwoods Cranberry Sauce|2|Condiments|11
9|Mishi Kobe Niku|6|Meat/Poultry|25
10|Ikura|8|Seafood|24
11|Queso Cabrales|4|Dairy Products|47
12|Queso Manchego La Pastora|4|Dairy Products|12
13|Konbu|8|Seafood|26
14|Tofu|7|Produce|25
15|Genen Shouyu|2|Condiments|48
16|Pavlova|3|Confections|13
17|Alice Mutton|6|Meat/Poultry|27
18|Carnarvon Tigers|8|Seafood|26
19|Teatime Chocolate Biscuits|3|Confections|49
20|Sir Rodney's Marmalade|3|Confections|14
21|Sir Rodney's Scones|3|Confections|28
22|Gustaf's Knäckebröd|5|Grains/Cereals|27
23|Tunnbröd|5|Grains/Cereals|50
24|Guaraná Fantástica|1|Beverages|15
25|Nougat-Creme|3|Confections|29
26|Gumbär Gummibärchen|3|Confections|28
27|Schoggi Schokolade|3|Confections|51
28|Rössle Sauerkraut|7|Produce|16
29|Thüringer Rostbratwurst|6|Meat/Poultry|30
30|Nord-Ost Matjeshering|8|Seafood|29
31|Gorgonzola Telino|4|Dairy Products|52
32|Mascarpone Fabioli|4|Dairy Products|17
33|Geitost|4|Dairy Products|31
34|Sasquatch Ale|1|Beverages|30
35|Steeleye Stout|1|Beverages|53
36|Inlagd Sill|8|Seafood|18
37|Gravad lax|8|Seafood|32
38|Côte de Blaye|1|Beverages|31
39|Chartreuse verte|1|Beverages|54
40|Boston Crab Meat|8|Seafood|19
41|Jack's New England Clam Chowder|8|Seafood|33
42|Singaporean Hokkien Fried Mee|5|Grains/Cereals|32
43|Ipoh Coffee|1|Beverages|55
44|Gula Malacca|2|Condiments|20
45|Røgede sild|8|Seafood|34
46|Spegesild|8|Seafood|33
47|Zaanse koeken|3|Confections|56
48|Chocolade|3|Confections|21
49|Maxilaku|3|Confections|35
50|Valkoinen suklaa|3|Confections|34
51|Manjimup Dried Apples|7|Produce|57
52|Filo Mix|5|Grains/Cereals|22
53|Perth Pasties|6|Meat/Poultry|36
54|Tourtière|6|Meat/Poultry|35
55|Pâté chinois|6|Meat/Poultry|58
56|Gnocchi di nonna Alice|5|Grains/Cereals|23
57|Ravioli Angelo|5|Grains/Cereals|37
58|Escargots de Bourgogne|8|Seafood|36
59|Raclette Courdavault|4|Dairy Products|59
60|Camembert Pierrot|4|Dairy Products|24
61|Sirop d'érable|2|Condiments|38
62|Tarte au sucre|3|Confections|37
63|Vegie-spread|2|Condiments|60
64|Wimmers gute Semmelknödel|5|Grains/Cereals|25
65|Louisiana Fiery Hot Pepper Sauce|2|Condiments|39
66|Louisiana Hot Spiced Okra|2|Condiments|38
67|Laughing Lumberjack Lager|1|Beverages|61
68|Scottish Longbreads|3|Confections|26
69|Gudbrandsdalsost|4|Dairy Products|40
70|Outback Lager|1|Beverages|39
71|Fløtemysost|4|Dairy Products|62
72|Mozzarella di Giovanni|4|Dairy Products|27
73|Röd Kaviar|8|Seafood|41
74|Longlife Tofu|7|Produce|40
75|Rhönbräu Klosterbier|1|Beverages|63
76|Lakkalikööri|1|Beverages|28
77|Original Frankfurter grüne Soße|2|Condiments|42
